	Run	Condition	BioReplicate
1	1910_JE_sample1	T1	309
2	1910_JE_sample2_6ul	T0	39
3	1910_JE_sample3_2uL	T0	267
4	1910_JE_sample4_10uL	T1	208
5	1910_JE_sample5	T1	79
6	1910_JE_sample6	T1	272
7	1910_JE_sample7_10uL	T0	272
8	1910_JE_sample8_10uL	T1	268
9	1910_JE_sample9_8uL	T2	79
10	1910_JE_sample10	T2	271
11	1910_JE_sample11	T2	318
12	1910_JE_sample12_2uL	T2	2316
13	1910_JE_sample13_10uL	T2	93
14	1910_JE_sample14_4uL	T0	79
15	1910_JE_sample15_10uL	T2	309
16	1910_JE_sample16_10uL	T1	267
17	1910_JE_sample17_4uL	T2	36
18	1910_JE_sample18_12ul	T1	36
19	1910_JE_sample19_12uL	T0	198
20	1910_JE_sample20_4uL	T0	271
21	1910_JE_sample21_12uL	T2	102
22	1910_JE_sample22_4uL	T2	208
23	1910_JE_sample23_12uL	T0	102
24	1910_JE_sample24_4uL	T1	2316
25	1910_JE_sample25_4uL	T2	267
26	1910_JE_sample26_12uL	T1	198
27	1910_JE_sample27_12uL	T0	208
28	1910_JE_sample28	T2	272
29	1910_JE_sample29_8uL	T0	268
30	1910_JE_sample30_12uL	T2	198
31	1910_JE_sample31_8uL	T0	186
32	1910_JE_sample32_12uL	T1	186
33	1910_JE_sample33	T1	93
34	1910_JE_sample34_8uL	T0	36
35	1910_JE_sample35	T0	309
36	1910_JE_sample36_12uL	T2	186
37	1910_JE_sample37	T1	39
38	1910_JE_sample38	T2	268
39	1910_JE_sample39	T1	102
40	1910_JE_sample40_12uL	T1	271
41	1910_JE_sample41_12uL	T0	318
42	1910_JE_sample42	T2	39
43	1910_JE_sample43_12uL	T1	318
44	1910_JE_sample44b_4uL	T0	93
45	SK_190402_04	T2	210063
46	SK_190402_05	T1	210021
47	SK_190402_06	T2	210098
48	SK_190402_07b	T2	210074
49	SK_190402_08b	T1	210094
50	SK_190405_04	T1	210036
51	SK_190405_06	T0	210078
52	SK_190405_08	T1	210032
53	SK_190405_10	T0	210085
54	SK_190405_12	T2	175038
55	SK_190405_17	T1	210051
56	SK_190405_19	T2	210092
57	SK_190405_23	T2	210051
58	SK_190405_25	T0	210091
59	SK_190405_29	T1	210071
60	SK_190406_01	T1	210078
61	SK_190406_03	T0	210070
62	SK_190406_05	T2	210043
63	SK_190406_07	T1	210066
64	SK_190406_09	T2	210077
65	SK_190406_13	T0	175038
66	SK_190406_15	T0	210092
67	SK_190406_17	T2	210070
68	SK_190406_19	T0	210071
69	SK_190406_21	T0	210084
70	SK_190410_01	T1	210091
71	SK_190410_03	T0	210032
72	SK_190410_05	T2	210090
73	SK_190410_07	T2	235249
74	SK_190410_09	T2	210066
75	SK_190410_13	T1	210053
76	SK_190410_15	T0	210036
77	SK_190410_17	T0	210074
78	SK_190410_19	T1	210043
79	SK_190410_21	T2	210052
80	SK_190411_01	T2	210097
81	SK_190411_03	T2	210087
82	SK_190411_05	T0	210021
83	SK_190411_07	T1	235249
84	SK_190411_09	T2	210082
85	SK_190411_13	T2	210091
86	SK_190411_15	T0	235244
87	SK_190411_17	T0	210090
88	SK_190411_19	T2	210078
89	SK_190411_21	T1	210011
90	SK_190412_03	T0	235249
91	SK_190412_05	T2	210053
92	SK_190412_07	T0	210093
93	SK_190412_09	T2	210060
94	SK_190412_13	T1	210063
95	SK_190412_15	T1	210076
96	SK_190416_01	T2	175067
97	SK_190416_03	T0	210064
98	SK_190416_05	T0	210094
99	SK_190416_07	T2	210036
100	SK_190416_09	T1	175067
101	SK_190416_13	T1	210093
102	SK_190416_15	T1	210081
103	SK_190416_17	T1	210084
104	SK_190416_19	T0	175032
105	SK_190416_21	T0	210087
106	SK_190417_01	T0	175067
107	SK_190417_03	T0	210077
108	SK_190417_05	T1	210083
109	SK_190417_07	T0	210098
110	SK_190417_09	T0	210063
111	SK_190417_13	T2	235244
112	SK_190417_15	T1	210082
113	SK_190417_17	T0	210065
114	SK_190417_19	T2	210021
115	SK_190417_21	T0	210043
116	SK_190418_01	T0	175016
117	SK_190418_03	T2	210064
118	SK_190418_05	T1	210064
119	SK_190418_07	T1	175038
120	SK_190418_09	T1	210097
121	SK_190418_13	T1	210065
122	SK_190418_15	T2	235241
123	SK_190418_17	T2	210076
124	SK_190418_19	T1	210077
125	SK_190418_21	T1	210087
126	SK_190419_01	T0	210053
127	SK_190419_03	T1	210070
128	SK_190419_05	T1	210098
129	SK_190419_07	T2	175016
130	SK_190419_09	T1	210085
131	SK_190419_13	T2	210081
132	SK_190419_15	T0	210051
133	SK_190419_17	T0	210083
134	SK_190419_19	T1	210052
135	SK_190419_21	T0	210082
136	SK_190421_01	T2	210065
137	SK_190421_03	T2	210085
138	SK_190421_05	T0	210097
139	SK_190421_07	T0	210076
140	SK_190421_09	T1	210092
141	SK_190421_13	T1	210074
142	SK_190421_15_20190424112624	T2	210071
143	SK_190421_17	T0	210060
144	SK_190421_19	T2	210094
145	SK_190421_21	T2	210084
146	SK_190422_01	T0	210052
147	SK_190422_03	T2	175032
148	SK_190422_05	T0	210081
149	SK_190422_07	T0	235241
150	SK_190422_09	T2	210083
151	SK_190422_13	T0	210066
152	SK_190422_15	T1	210090
153	SK_190422_17	T1	210060
154	SK_190422_19	T0	210011
155	SK_190422_21	T2	210093
