	Run	Condition	BioReplicate
1	210510_Durban1_FAIMS_DIA_90minNLG_R1	T1	309
2	210510_Durban2_FAIMS_DIA_90minNLG_R1	T0	39
3	210510_Durban3_FAIMS_DIA_90minNLG_R1	T0	267
4	210510_Durban4_FAIMS_DIA_90minNLG_R1	T1	208
5	210510_Durban5_FAIMS_DIA_90minNLG_R1	T1	79
6	210510_Durban6_FAIMS_DIA_90minNLG_R1	T1	272
7	210510_Durban7_FAIMS_DIA_90minNLG_R1	T0	272
8	210510_Durban8_FAIMS_DIA_90minNLG_R1	T1	268
9	210510_Durban9_FAIMS_DIA_90minNLG_R1	T2	79
10	210510_Durban10_FAIMS_DIA_90minNLG_R1	T2	271
11	210510_Durban11_FAIMS_DIA_90minNLG_R1	T2	318
12	210510_Durban12_FAIMS_DIA_90minNLG_R1	T2	2316
13	210510_Durban13_FAIMS_DIA_90minNLG_R1	T2	93
14	210510_Durban14_FAIMS_DIA_90minNLG_R1	T0	79
15	210510_Durban15_FAIMS_DIA_90minNLG_R1	T2	309
16	210510_Durban16_FAIMS_DIA_90minNLG_R1	T1	267
17	210510_Durban17_FAIMS_DIA_90minNLG_R1	T2	36
18	210510_Durban18_FAIMS_DIA_90minNLG_R1	T1	36
19	210510_Durban19_FAIMS_DIA_90minNLG_R1	T0	198
20	210510_Durban20_FAIMS_DIA_90minNLG_R1	T0	271
21	210510_Durban21_FAIMS_DIA_90minNLG_R1	T2	102
22	210510_Durban22_FAIMS_DIA_90minNLG_R1	T2	208
23	210510_Durban23_FAIMS_DIA_90minNLG_R1	T0	102
24	210510_Durban24_FAIMS_DIA_90minNLG_R1	T1	2316
25	210510_Durban25_FAIMS_DIA_90minNLG_R1	T2	267
26	210510_Durban26_FAIMS_DIA_90minNLG_R1	T1	198
27	210510_Durban27_FAIMS_DIA_90minNLG_R1	T0	208
28	210510_Durban28_FAIMS_DIA_90minNLG_R1	T2	272
29	210510_Durban29_FAIMS_DIA_90minNLG_R1	T0	268
30	210510_Durban30_FAIMS_DIA_90minNLG_R1	T2	198
31	210510_Durban31_FAIMS_DIA_90minNLG_R1	T0	186
32	210510_Durban32_FAIMS_DIA_90minNLG_R1	T1	186
33	210510_Durban33_FAIMS_DIA_90minNLG_R1	T1	93
34	210510_Durban34_FAIMS_DIA_90minNLG_R1	T0	36
35	210510_Durban35_FAIMS_DIA_90minNLG_R1	T0	309
36	210510_Durban36_FAIMS_DIA_90minNLG_R1	T2	186
37	210510_Durban37_FAIMS_DIA_90minNLG_R1	T1	39
38	210510_Durban38_FAIMS_DIA_90minNLG_R1	T2	268
39	210510_Durban39_FAIMS_DIA_90minNLG_R1	T1	102
40	210510_Durban41_FAIMS_DIA_90minNLG_R1	T2	39
41	210510_Durban42_FAIMS_DIA_90minNLG_R1	T1	318
42	210510_Durban43_FAIMS_DIA_90minNLG_R1	T0	93
43	210510_Durban44_FAIMS_DIA_90minNLG_R1	T1	271
44	210519_AHI1_FAIMS_DIA_90minNLG_R1	T2	175067
45	210519_AHI2_FAIMS_DIA_90minNLG_R1	T0	210064
46	210519_AHI3_FAIMS_DIA_90minNLG_R1	T0	210094
47	210519_AHI4_FAIMS_DIA_90minNLG_R1	T2	210036
48	210519_AHI5_FAIMS_DIA_90minNLG_R1	T1	175067
49	210519_AHI6_FAIMS_DIA_90minNLG_R1	T1	210093
50	210519_AHI7_FAIMS_DIA_90minNLG_R1	T1	210081
51	210519_AHI8_FAIMS_DIA_90minNLG_R1	T1	210084
52	210519_AHI9_FAIMS_DIA_90minNLG_R1	T0	175032
53	210519_AHI10_FAIMS_DIA_90minNLG_R1	T0	210087
54	210519_AHI11_FAIMS_DIA_90minNLG_R1	T0	175067
55	210519_AHI12_FAIMS_DIA_90minNLG_R1	T0	210077
56	210519_AHI13_FAIMS_DIA_90minNLG_R1	T1	210083
57	210519_AHI14_FAIMS_DIA_90minNLG_R1	T0	210098
58	210519_AHI15_FAIMS_DIA_90minNLG_R1	T0	210063
59	210519_AHI16_FAIMS_DIA_90minNLG_R1	T2	235244
60	210519_AHI17_FAIMS_DIA_90minNLG_R1	T1	210082
61	210519_AHI18_FAIMS_DIA_90minNLG_R1	T0	210065
62	210519_AHI19_FAIMS_DIA_90minNLG_R1	T2	210021
63	210519_AHI20_FAIMS_DIA_90minNLG_R1	T0	210043
64	210519_AHI21_FAIMS_DIA_90minNLG_R1	T0	175016
65	210604_AHI22_FAIMS_DIA_90minNLG_R1	T2	210064
66	210519_AHI23_FAIMS_DIA_90minNLG_R1	T1	210064
67	210519_AHI24_FAIMS_DIA_90minNLG_R1	T1	175038
68	210519_AHI25_FAIMS_DIA_90minNLG_R1	T1	210097
69	210519_AHI26_FAIMS_DIA_90minNLG_R1	T1	210065
70	210519_AHI27_FAIMS_DIA_90minNLG_R1	T2	235241
71	210604_AHI28_FAIMS_DIA_90minNLG_R1	T2	210076
72	210519_AHI29_FAIMS_DIA_90minNLG_R1	T1	210077
73	210519_AHI30_FAIMS_DIA_90minNLG_R1	T1	210087
74	210519_AHI31_FAIMS_DIA_90minNLG_R1	T0	210053
75	210519_AHI32_FAIMS_DIA_90minNLG_R1	T1	210070
76	210519_AHI33_FAIMS_DIA_90minNLG_R1	T1	210098
77	210519_AHI34_FAIMS_DIA_90minNLG_R1	T2	175016
78	210519_AHI35_FAIMS_DIA_90minNLG_R1	T1	210085
79	210519_AHI36_FAIMS_DIA_90minNLG_R1	T2	210081
80	210519_AHI37_FAIMS_DIA_90minNLG_R1	T0	210051
81	210519_AHI38_FAIMS_DIA_90minNLG_R1	T0	210083
82	210519_AHI39_FAIMS_DIA_90minNLG_R1	T1	210052
83	210519_AHI40_FAIMS_DIA_90minNLG_R1	T0	210082
84	210604_AHI41_FAIMS_DIA_90minNLG_R1	T2	210065
85	210519_AHI42_FAIMS_DIA_90minNLG_R1	T2	210085
86	210519_AHI43_FAIMS_DIA_90minNLG_R1	T0	210097
87	210519_AHI44_FAIMS_DIA_90minNLG_R1	T0	210076
88	210519_AHI45_FAIMS_DIA_90minNLG_R1	T1	210092
89	210519_AHI46_FAIMS_DIA_90minNLG_R1	T1	210074
90	210519_AHI47_FAIMS_DIA_90minNLG_R1	T2	210071
91	210519_AHI48_FAIMS_DIA_90minNLG_R1	T0	210060
92	210604_AHI49_FAIMS_DIA_90minNLG_R1	T2	210094
93	210604_AHI50_FAIMS_DIA_90minNLG_R1	T2	210084
94	210519_AHI51_FAIMS_DIA_90minNLG_R1	T0	210052
95	210604_AHI52_FAIMS_DIA_90minNLG_R1	T2	175032
96	210519_AHI53_FAIMS_DIA_90minNLG_R1	T0	210081
97	210519_AHI54_FAIMS_DIA_90minNLG_R1	T0	235241
98	210604_AHI55_FAIMS_DIA_90minNLG_R1	T2	210083
99	210519_AHI56_FAIMS_DIA_90minNLG_R1	T0	210066
100	210519_AHI57_FAIMS_DIA_90minNLG_R1	T1	210090
101	210519_AHI58_FAIMS_DIA_90minNLG_R1	T1	210060
102	210519_AHI59_FAIMS_DIA_90minNLG_R1	T0	210011
103	210604_AHI60_FAIMS_DIA_90minNLG_R1	T2	210093
104	210604_AHI61_FAIMS_DIA_90minNLG_R1	T2	210063
105	210519_AHI62_FAIMS_DIA_90minNLG_R1	T1	210021
106	210604_AHI63_FAIMS_DIA_90minNLG_R1	T2	210098
107	210604_AHI64_FAIMS_DIA_90minNLG_R1	T2	210074
108	210519_AHI65_FAIMS_DIA_90minNLG_R1	T1	210094
109	210519_AHI66_FAIMS_DIA_90minNLG_R1	T1	210036
110	210519_AHI67_FAIMS_DIA_90minNLG_R1	T0	210078
111	210519_AHI68_FAIMS_DIA_90minNLG_R1	T1	210032
112	210519_AHI69_FAIMS_DIA_90minNLG_R1	T0	210085
113	210604_AHI70_FAIMS_DIA_90minNLG_R1	T2	175038
114	210519_AHI71_FAIMS_DIA_90minNLG_R1	T1	210051
115	210519_AHI72_FAIMS_DIA_90minNLG_R1	T2	210092
116	210519_AHI73_FAIMS_DIA_90minNLG_R1	T2	210032
117	210519_AHI74_FAIMS_DIA_90minNLG_R1	T2	210051
118	210519_AHI75_FAIMS_DIA_90minNLG_R1	T0	210091
119	210519_AHI76_FAIMS_DIA_90minNLG_R1	T1	210071
120	210519_AHI77_FAIMS_DIA_90minNLG_R1	T1	210078
121	210519_AHI78_FAIMS_DIA_90minNLG_R1	T0	210070
122	210604_AHI79_FAIMS_DIA_90minNLG_R1	T2	210043
123	210519_AHI80_FAIMS_DIA_90minNLG_R1	T1	210066
124	210604_AHI81_FAIMS_DIA_90minNLG_R1	T2	210077
125	210519_AHI82_FAIMS_DIA_90minNLG_R1	T0	175038
126	210519_AHI83_FAIMS_DIA_90minNLG_R1	T0	210092
127	210604_AHI84_FAIMS_DIA_90minNLG_R1	T2	210070
128	210519_AHI85_FAIMS_DIA_90minNLG_R1	T0	210071
129	210519_AHI86_FAIMS_DIA_90minNLG_R1	T0	210084
130	210519_AHI87_FAIMS_DIA_90minNLG_R1	T1	210091
131	210519_AHI88_FAIMS_DIA_90minNLG_R1	T0	210032
132	210604_AHI89_FAIMS_DIA_90minNLG_R1	T2	210090
133	210604_AHI90_FAIMS_DIA_90minNLG_R1	T2	235249
134	210604_AHI91_FAIMS_DIA_90minNLG_R1	T2	210066
135	210519_AHI92_FAIMS_DIA_90minNLG_R1	T1	210053
136	210519_AHI93_FAIMS_DIA_90minNLG_R1	T0	210036
137	210519_AHI94_FAIMS_DIA_90minNLG_R1	T0	210074
138	210519_AHI95_FAIMS_DIA_90minNLG_R1	T1	210043
139	210604_AHI96_FAIMS_DIA_90minNLG_R1	T2	210052
140	210604_AHI97_FAIMS_DIA_90minNLG_R1	T2	210097
141	210604_AHI98_FAIMS_DIA_90minNLG_R1	T2	210087
142	210519_AHI99_FAIMS_DIA_90minNLG_R1	T0	210021
143	210604_AHI100_FAIMS_DIA_90minNLG_R1	T1	235249
144	210604_AHI101_FAIMS_DIA_90minNLG_R1	T2	210082
145	210604_AHI102_FAIMS_DIA_90minNLG_R1	T2	210091
146	210519_AHI103_FAIMS_DIA_90minNLG_R1	T0	235244
147	210519_AHI104_FAIMS_DIA_90minNLG_R1	T0	210090
148	210604_AHI105_FAIMS_DIA_90minNLG_R1	T2	210078
149	210519_AHI106_FAIMS_DIA_90minNLG_R1	T1	210011
150	210519_AHI107_FAIMS_DIA_90minNLG_R1	T0	235249
151	210604_AHI108_FAIMS_DIA_90minNLG_R1	T2	210053
152	210519_AHI109_FAIMS_DIA_90minNLG_R1	T0	210093
153	210604_AHI110_FAIMS_DIA_90minNLG_R1	T2	210060
154	210519_AHI111_FAIMS_DIA_90minNLG_R1	T1	210063
155	210519_AHI112_FAIMS_DIA_90minNLG_R1	T1	210076
156	210604_AHI113_FAIMS_DIA_90minNLG_R1	T1	194532
